domain,question,answer
General,"What certification does this kit prepare you for?","Claude Certified Architect – Foundations (CCA-F), Anthropic's first official Claude technical certification [OFFICIAL]"
General,"Who is the CCA-F aimed at?","Solution architects building production applications with Claude [OFFICIAL]"
General,"What platform delivers the CCA-F exam?","Anthropic Academy on Skilljar (anthropic.skilljar.com) [OFFICIAL]"
General,"How do you get exam access at launch?","Join the (free) Claude Partner Network, then request access via Skilljar [OFFICIAL]"
General,"Reported exam format?","~60 scenario-based multiple-choice questions, 120 minutes [COMMUNITY]"
General,"Reported passing score?","~720 on a scaled 100–1000 scale [COMMUNITY]"
General,"Reported cost per attempt?","~$99 (waived for first 5,000 partner employees) [COMMUNITY]"
General,"The five reported exam domains?","Agentic Architecture; Prompt Engineering & Structured Output; Tool Design & MCP; Context & Reliability; Claude Code Configuration [COMMUNITY]"
D1,"Difference between a workflow and an agent?","Workflow = LLM/tools on predefined code paths; agent = LLM dynamically directs its own process in a loop"
D1,"The guiding design principle for agents?","Use the simplest solution that works; add complexity only when it demonstrably improves outcomes"
D1,"When do you need an agent rather than a workflow?","When the path can't be predicted in advance and the model must adapt its own steps"
D1,"Name the five workflow patterns.","Prompt chaining, routing, parallelization, orchestrator–workers, evaluator–optimizer"
D1,"What is the routing pattern best for?","Distinct input categories handled better by specialized prompts/models"
D1,"Two flavors of parallelization?","Sectioning (independent subtasks) and voting (same task multiple times)"
D1,"How do orchestrator–workers differ from parallelization?","The orchestrator dynamically decides the subtasks; parallelization uses predefined ones"
D1,"When is evaluator–optimizer a good fit?","Clear eval criteria exist and iteration measurably improves the output"
D1,"The three capabilities of the agentic loop?","Gather context, take action, verify work (repeat until done)"
D1,"Why must agents have stop conditions?","Without max iterations/budget/explicit done, they can loop forever or burn budget"
D1,"Default: single-agent or multi-agent?","Single agent with good tools; use multi-agent only for parallel breadth or separation of concerns"
D1,"When is multi-agent worth ~15x the tokens?","Broad, open-ended, parallelizable tasks (e.g., research across many directions)"
D1,"#1 failure mode of subagent delegation?","Vague delegation — subagents need a specific objective, scope, tools, and output format"
D1,"How should worker results return to the orchestrator?","As condensed, structured summaries (not raw dumps) to keep context clean"
D1,"How does a long-running agent survive a context reset?","Persist plan/state to external storage and reload just-in-time; support session resumption"
D1,"Hooks vs prompts rule?","Soft guidance → prompt; hard requirement that must always happen → deterministic hook/code"
D2,"First rung of the prompt-engineering ladder?","Be clear, direct, and detailed (treat Claude like a brilliant new hire)"
D2,"Most powerful lever for matching a format or style?","Few-shot examples (multishot prompting)"
D2,"Three properties of good few-shot examples?","Relevant, diverse, and clearly delimited"
D2,"Risk if all examples share the same answer?","The model learns a bias and over-predicts that answer"
D2,"When should you NOT use chain-of-thought?","Simple single-step tasks where latency/cost matter"
D2,"How to prompt an extended-thinking model on a hard task?","Give the goal and room to think; don't micromanage each step"
D2,"Most reliable way to get schema-valid JSON?","Define a tool whose input_schema is your output schema and force the tool call; then validate"
D2,"What does prefilling the assistant turn do?","Controls the start/format (e.g., prefill '{' to force JSON and skip preamble)"
D2,"Why use XML tags in prompts?","To separate instructions, context, examples, and input so the model doesn't confuse them"
D2,"Where do durable role/policy instructions go?","The system prompt (also maximizes prompt-cache hits)"
D2,"Three tactics to reduce hallucination in document Q&A?","Allow 'not found', answer only from the document, and quote supporting text/cite sources"
D2,"How do you actually know prompt A beats prompt B?","An eval set with graders; change one variable at a time and measure"
D3,"In the tool-use loop, who executes the tool?","Your application — the model only emits a tool_use intent; you return a tool_result"
D3,"Why is the tool description so important?","It functions as a prompt; under-specified descriptions are the top cause of tool misuse"
D3,"Four properties of a well-designed tool?","Clear name, rich description, well-typed input_schema, concise useful results"
D3,"Fix for the model picking the wrong tool between two similar ones?","Consolidate/clarify tools and specify exactly when to use each in the descriptions"
D3,"What does tool_choice control?","Whether/which tool is used: auto, any (force some tool), a specific tool, or none"
D3,"What is MCP, in one line?","An open standard for connecting AI apps to external tools/data/prompts — a 'USB-C port for AI'"
D3,"MCP's three core primitives?","Tools (model-controlled), Resources (app-controlled), Prompts (user-controlled)"
D3,"Which MCP primitive is model-controlled?","Tools"
D3,"Which MCP primitive is user-controlled?","Prompts (e.g., surfaced as slash commands)"
D3,"Which MCP primitive is application-controlled?","Resources (read-only context loaded by URI)"
D3,"Define MCP host, client, server.","Host = the AI app the user uses; client = 1:1 connector inside the host; server = program exposing tools/resources/prompts"
D3,"Local vs remote MCP transports?","stdio for local; HTTP/SSE (streamable) for remote"
D3,"Main reason to use MCP over hardcoded tools?","Write the server once and reuse it across any MCP-compatible host (interoperability)"
D3,"Two security practices for a remote MCP server?","Require auth and validate/scope inputs (treat inputs as untrusted; use roots to limit filesystem)"
D3,"Why return IDs instead of huge payloads from a tool?","Concise results conserve context tokens and keep the agent reliable over long sessions"
D4,"What is context engineering?","Curating the entire set of tokens so the model has the right info, in the right form, at the right time"
D4,"What is 'context rot'?","Performance degrading as irrelevant or excess tokens dilute the model's attention"
D4,"What is just-in-time retrieval?","Fetching information when needed rather than pre-stuffing everything into the context window"
D4,"Where do you place a prompt-cache breakpoint?","After the stable prefix (system prompt, tools, fixed context); variable content comes last"
D4,"Why must cached content come first and be identical?","Anything before the breakpoint must be byte-identical to hit the cache"
D4,"Prompt caching cost model?","Cache writes cost slightly more than normal tokens; cache reads are much cheaper and faster"
D4,"When is prompt caching clearly worth it?","When a large stable prefix is reused across many calls (e.g., agent loops, doc Q&A)"
D4,"How do you handle a conversation exceeding the window?","Compact/summarize older turns (keep decisions/open tasks) and offload to external memory"
D4,"Two cost levers for a high-volume, latency-insensitive job?","Message Batches API + prompt caching of the fixed instruction/schema prefix"
D4,"Best practice for rate-limit/transient API errors?","Retry with exponential backoff; ensure idempotency on side-effecting tools"
D4,"Two ways to maximize correctness when cost is secondary?","Lower temperature and use self-consistency (sample N, take the majority)"
D4,"Biggest reliability risk in a RAG system?","Poor retrieval — garbage chunks in means garbage answers out"
D4,"Sensible model selection strategy?","Small/fast model for routing/classification; strong model for hard reasoning; route between them"
D5,"What is Claude Code?","A terminal-based agentic coding tool that runs the agentic loop over your codebase; also usable headless"
D5,"Which config file is committed and shared with the team?",".claude/settings.json (project scope)"
D5,"What is .claude/settings.local.json?","Personal, gitignored overrides for the project"
D5,"Highest-authority Claude Code config layer?","Enterprise/managed policy (admins; can't be overridden by users)"
D5,"What is CLAUDE.md for?","Persistent project/user context (conventions, architecture, commands) auto-loaded into context"
D5,"What must never go in CLAUDE.md?","Secrets/API keys"
D5,"What are Claude Code hooks?","Shell commands that run automatically at lifecycle events for deterministic control"
D5,"Which hook event can block an action before it runs?","PreToolUse"
D5,"Common use of a PostToolUse hook?","Auto-run formatter/linter/tests after an edit"
D5,"Three things a subagent gets that isolate it?","Its own context window, its own system prompt, and a restricted toolset"
D5,"What is an Agent Skill?","A folder with SKILL.md (instructions + metadata) plus optional scripts, auto-applied when relevant"
D5,"Why are Skills better than a giant CLAUDE.md for some knowledge?","They're progressively loaded only when the task matches, saving context"
D5,"How do MCP prompts appear in Claude Code?","As slash commands the user can invoke"
D5,"What's mandatory for headless Claude Code in CI?","Least-privilege permissions + enforcement hooks + logging (no human to approve)"
D5,"Where are subagents defined in a project?","As markdown files (e.g., .claude/agents/) with when-to-use descriptions"
